Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
2024/02/20,Wire Received,,WIRED FUNDS RECEIVED,,,,$3500.00
2024/02/20,Buy,SPLG,SPDR PORTFOLIO S&P ...500 ETF,4,$58.26,,-$233.04
2024/02/20,Buy,EDV,VANGUARD EXTENDED DURATION ETF,3,$74.445,,-$223.34
2024/02/28,Credit Interest,,SCHWAB1 INT 01/30-02/27,,,,$0.43
2024/02/28,NRA Tax Adj,,SCHWAB1 INT 01/30-02/27,,,,-$0.12
2024/03/01,Journaled Shares,,TDA TRAN - W-8 WITHHOLDING (TQQQ),,,,$2.63
2024/03/01,Journaled Shares,,TDA TRAN - W-8 WITHHOLDING (TQQQ),,,,$2.62
2024/03/01,Journaled Shares,,TDA TRAN - W-8 WITHHOLDING (EDV),,,,$2.63
2024/03/01,Journaled Shares,,TDA TRAN - W-8 WITHHOLDING (EDV),,,,$2.15
2024/03/04,Journaled Shares,,TDA TRAN - CASH MOVEMENT OF OUTGOING ACCOUNT TRANSFER,,,,-$10.03
2024/03/04,Internal Transfer,,TDA TO CS&CO TRANSFER,,,,$10.03
2024/03/11,Buy,SPLG,SPDR PORTFOLIO S&P ...500 ETF,6,$60.0799,,-$360.48
2024/03/11,Buy,EDV,VANGUARD EXTENDED DURATION ETF,1,$77.72,,-$77.72
2024/03/21,Cash Dividend,SPLG,SPDR PORTFOLIO S&P ...500 ETF,,,,$18.21
2024/03/21,NRA Tax Adj,SPLG,SPDR PORTFOLIO S&P ...500 ETF,,,,-$5.46
2024/03/27,Cash Dividend,TQQQ,PSHR ULTRAPRO ETF DV,,,,$21.51
2024/03/27,NRA Tax Adj,TQQQ,PSHR ULTRAPRO ETF DV,,,,-$6.45
2024/03/27,Credit Interest,,SCHWAB1 INT 02/28-03/26,,,,$1.12
2024/03/27,NRA Tax Adj,,SCHWAB1 INT 02/28-03/26,,,,-$0.33
2024/04/02,Buy,EDV,VANGUARD EXTENDED DURATION ETF,5,$73.00,,-$365.00
2024/04/02,Buy,SPLG,SPDR PORTFOLIO S&P ...500 ETF,4,$60.907,,-$243.63
2024/04/04,Cash Dividend,EDV,VANGUARD EXTENDED DURATION ETF,,,,$26.13
2024/04/04,NRA Tax Adj,EDV,VANGUARD EXTENDED DURATION ETF,,,,-$7.84
2024/04/09,Buy,SPLG,SPDR PORTFOLIO S&P ...500 ETF,3,$60.8485,,-$182.55
2024/04/10,Buy,EDV,VANGUARD EXTENDED DURATION ETF,2,$71.9375,,-$143.88
2024/04/10,Buy,TQQQ,PSHR ULTRAPRO ETF DV,1,$58.5267,,-$58.53
2024/04/18,Buy,TQQQ,PSHR ULTRAPRO ETF DV,5,$53.345,,-$266.73
2024/04/29,Credit Interest,,SCHWAB1 INT 03/27-04/28,,,,$0.90
2024/04/29,NRA Tax Adj,,SCHWAB1 INT 03/27-04/28,,,,-$0.27
2024/05/03,Buy,BOXX,ALPHA ARCHITECT 1-3 MONTH BOX ETF,10,$106.9711,,-$1069.71
2024/05/13,Buy,SPLG,SPDR PORTFOLIO S&P ...500 ETF,2,$61.31,,-$122.62
2024/05/13,Buy,EDV,VANGUARD EXTENDED DURATION ETF,2,$71.5085,,-$143.02
2024/05/15,Journal,BOXX,ALPHA ARCHITECT 1-3 MONTH BOX ETF,10,,,
2024/05/15,Journal,BOXX,ALPHA ARCHITECT 1-3 MONTH BOX ETF,-10,,,
2024/05/15,Journal,TQQQ,PSHR ULTRAPRO ETF DV,106,,,
2024/05/15,Journal,TQQQ,PSHR ULTRAPRO ETF DV,-106,,,
2024/05/15,Journal,SPLG,SPDR PORTFOLIO S&P ...500 ETF,97,,,
2024/05/15,Journal,SPLG,SPDR PORTFOLIO S&P ...500 ETF,-97,,,
2024/05/15,Journal,EDV,VANGUARD EXTENDED DURATION ETF,41,,,
2024/05/15,Journal,EDV,VANGUARD EXTENDED DURATION ETF,-41,,,
2024/05/20,Buy,SPLG,SPDR PORTFOLIO S&P ...500 ETF,3,$62.4359,,-$187.31
2024/05/20,Sell,BOXX,ALPHA ARCHITECT 1-3 MONTH BOX ETF,1,$107.225,,$107.23
2024/05/20,Buy,EDV,VANGUARD EXTENDED DURATION ETF,2,$72.3189,,-$144.64
2024/05/30,Credit Interest,,SCHWAB1 INT 04/29-05/29,,,,$0.24
2024/05/30,NRA Tax Adj,,SCHWAB1 INT 04/29-05/29,,,,-$0.07
