"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"02/20/2024","Wire Received","","WIRED FUNDS RECEIVED","","","","$3500.00"
"02/20/2024","Buy","SPLG","SPDR PORTFOLIO S&P ...500 ETF","4","$58.26","","-$233.04"
"02/20/2024","Buy","EDV","VANGUARD EXTENDED DURATION ETF","3","$74.445","","-$223.34"
"02/28/2024","Credit Interest","","SCHWAB1 INT 01/30-02/27","","","","$0.43"
"02/28/2024","NRA Tax Adj","","SCHWAB1 INT 01/30-02/27","","","","-$0.12"
"03/01/2024","Journaled Shares","","TDA TRAN - W-8 WITHHOLDING (TQQQ)","","","","$2.63"
"03/01/2024","Journaled Shares","","TDA TRAN - W-8 WITHHOLDING (TQQQ)","","","","$2.62"
"03/01/2024","Journaled Shares","","TDA TRAN - W-8 WITHHOLDING (EDV)","","","","$2.63"
"03/01/2024","Journaled Shares","","TDA TRAN - W-8 WITHHOLDING (EDV)","","","","$2.15"
"03/04/2024","Journaled Shares","","TDA TRAN - CASH MOVEMENT OF OUTGOING ACCOUNT TRANSFER","","","","-$10.03"
"03/04/2024","Internal Transfer","","TDA TO CS&CO TRANSFER","","","","$10.03"
"03/11/2024","Buy","SPLG","SPDR PORTFOLIO S&P ...500 ETF","6","$60.0799","","-$360.48"
"03/11/2024","Buy","EDV","VANGUARD EXTENDED DURATION ETF","1","$77.72","","-$77.72"
"03/21/2024","Cash Dividend","SPLG","SPDR PORTFOLIO S&P ...500 ETF","","","","$18.21"
"03/21/2024","NRA Tax Adj","SPLG","SPDR PORTFOLIO S&P ...500 ETF","","","","-$5.46"
"03/27/2024","Cash Dividend","TQQQ","PSHR ULTRAPRO ETF DV","","","","$21.51"
"03/27/2024","NRA Tax Adj","TQQQ","PSHR ULTRAPRO ETF DV","","","","-$6.45"
"03/27/2024","Credit Interest","","SCHWAB1 INT 02/28-03/26","","","","$1.12"
"03/27/2024","NRA Tax Adj","","SCHWAB1 INT 02/28-03/26","","","","-$0.33"
"04/02/2024","Buy","EDV","VANGUARD EXTENDED DURATION ETF","5","$73.00","","-$365.00"
"04/02/2024","Buy","SPLG","SPDR PORTFOLIO S&P ...500 ETF","4","$60.907","","-$243.63"
"04/04/2024","Cash Dividend","EDV","VANGUARD EXTENDED DURATION ETF","","","","$26.13"
"04/04/2024","NRA Tax Adj","EDV","VANGUARD EXTENDED DURATION ETF","","","","-$7.84"
"04/09/2024","Buy","SPLG","SPDR PORTFOLIO S&P ...500 ETF","3","$60.8485","","-$182.55"
"04/10/2024","Buy","EDV","VANGUARD EXTENDED DURATION ETF","2","$71.9375","","-$143.88"
"04/10/2024","Buy","TQQQ","PSHR ULTRAPRO ETF DV","1","$58.5267","","-$58.53"
"04/18/2024","Buy","TQQQ","PSHR ULTRAPRO ETF DV","5","$53.345","","-$266.73"
"04/29/2024","Credit Interest","","SCHWAB1 INT 03/27-04/28","","","","$0.90"
"04/29/2024","NRA Tax Adj","","SCHWAB1 INT 03/27-04/28","","","","-$0.27"
"05/03/2024","Buy","BOXX","ALPHA ARCHITECT 1-3 MONTH BOX ETF","10","$106.9711","","-$1069.71"
"05/13/2024","Buy","SPLG","SPDR PORTFOLIO S&P ...500 ETF","2","$61.31","","-$122.62"
"05/13/2024","Buy","EDV","VANGUARD EXTENDED DURATION ETF","2","$71.5085","","-$143.02"
"05/15/2024","Journal","BOXX","ALPHA ARCHITECT 1-3 MONTH BOX ETF","10","","",""
"05/15/2024","Journal","BOXX","ALPHA ARCHITECT 1-3 MONTH BOX ETF","-10","","",""
"05/15/2024","Journal","TQQQ","PSHR ULTRAPRO ETF DV","106","","",""
