,0050,006208,2330,2376,2884,0056,00679B,00646,00631L
2020-05-04,83.0,47.7,295.0,51.2,26.8,27.09,51.05,25.66,42.18
2020-05-05,83.4,47.78,295.5,51.1,26.85,27.33,50.75,26.18,42.74
2020-05-06,83.5,47.74,296.0,50.3,26.85,27.32,50.55,26.35,42.82
2020-05-07,83.85,48.04,297.5,51.2,26.8,27.4,50.1,26.18,43.62
2020-05-08,84.35,48.29,297.5,52.0,26.85,27.5,50.5,26.6,44.0
2020-05-11,85.05,48.72,301.0,53.1,27.05,27.66,49.81,26.75,44.87
2020-05-12,84.05,48.1,295.0,55.8,26.85,27.55,49.8,26.62,43.79
2020-05-13,84.3,48.25,297.0,59.5,27.15,27.75,50.25,26.24,44.2
2020-05-14,83.3,47.7,293.0,58.9,26.9,27.48,50.65,25.8,42.85
2020-05-15,83.85,47.91,298.0,62.4,26.95,27.43,51.0,26.15,43.36
2020-05-18,83.15,47.5,290.0,62.0,26.8,27.25,50.85,26.41,42.89
2020-05-19,83.9,47.95,291.5,62.6,26.9,27.43,49.84,26.97,43.82
2020-05-20,83.8,47.95,294.0,62.6,27.0,27.48,49.93,26.87,44.0
2020-05-21,84.5,48.37,297.5,63.5,27.0,27.63,50.25,27.01,44.9
2020-05-22,82.95,47.56,292.0,61.4,26.75,27.45,50.5,26.7,43.02
2020-05-25,83.5,47.68,292.0,63.1,26.85,27.5,50.5,27.18,43.85
2020-05-26,84.45,48.38,295.5,63.5,26.9,27.82,50.25,27.46,45.04
2020-05-27,84.35,48.28,296.5,61.3,26.95,27.85,49.84,27.59,44.87
2020-05-28,83.85,48.0,294.0,59.6,26.8,27.9,49.69,27.86,44.31
2020-05-29,84.45,48.23,292.0,59.0,26.65,27.86,49.72,27.68,44.67
2020-06-01,84.9,48.56,295.5,61.6,27.05,28.05,49.71,27.77,45.56
2020-06-02,85.3,48.9,296.5,61.8,27.55,28.17,49.46,27.77,45.95
2020-06-03,86.8,49.71,301.0,62.4,28.2,28.48,48.96,28.17,47.51
2020-06-04,87.6,49.97,306.0,62.9,28.1,28.67,48.68,28.42,48.15
2020-06-05,88.35,50.35,311.5,69.1,28.0,28.8,47.63,28.42,49.05
2020-06-08,89.5,51.0,318.0,64.3,28.1,28.88,47.09,28.96,49.95
2020-06-09,89.6,51.2,319.0,63.5,28.2,28.84,47.74,29.22,50.25
2020-06-10,90.45,51.65,322.5,63.6,28.35,28.86,48.1,29.15,51.15
2020-06-11,89.05,50.85,320.5,61.7,28.0,28.43,48.78,28.4,49.2
2020-06-12,88.25,50.35,316.0,63.0,27.65,28.29,49.15,27.59,48.49
2020-06-15,87.0,49.76,309.5,62.3,27.5,28.13,49.59,26.94,47.23
2020-06-16,88.9,50.9,315.0,64.9,28.05,28.45,48.37,28.18,49.52
2020-06-17,89.0,50.8,315.0,64.5,28.05,28.46,48.53,28.23,49.6
2020-06-18,88.9,50.85,314.5,64.8,28.0,28.55,48.67,27.96,49.92
2020-06-19,88.85,50.8,314.5,63.0,27.8,28.56,48.78,28.15,50.0
2020-06-22,89.05,51.0,312.0,65.1,27.8,28.48,48.88,28.01,50.15
2020-06-23,89.45,51.2,315.0,66.9,27.95,28.54,48.81,28.2,50.5
2020-06-24,90.0,51.4,317.5,65.4,27.95,28.54,48.41,28.25,51.05
2020-06-29,89.1,51.0,312.0,66.0,27.8,28.51,49.52,27.22,49.71
2020-06-30,89.9,51.35,313.0,65.5,27.8,28.56,49.38,27.57,50.8
2020-07-01,90.5,51.75,317.5,68.1,28.0,28.79,49.03,27.73,51.5
2020-07-02,91.5,52.2,322.0,69.3,28.05,29.09,49.08,28.0,52.75
2020-07-03,92.55,52.8,329.5,70.3,28.1,29.33,49.14,28.09,53.9
2020-07-06,94.15,53.75,338.0,71.7,28.4,29.83,48.74,28.46,55.95
2020-07-07,94.5,53.9,338.5,70.5,28.3,29.43,48.98,28.46,55.95
2020-07-08,95.15,54.35,341.0,71.4,28.45,29.72,49.34,28.26,56.7
2020-07-09,95.45,54.4,345.0,70.8,28.3,29.74,49.3,28.41,57.0
2020-07-10,94.65,54.05,348.5,72.0,28.3,29.52,50.25,28.17,55.7
2020-07-13,96.05,54.8,354.5,72.1,28.8,29.65,49.97,28.78,57.5
2020-07-14,96.65,55.2,363.5,73.7,28.8,29.58,50.0,28.44,57.45
2020-07-15,97.05,55.4,363.0,72.0,28.85,29.53,49.95,28.94,57.9
2020-07-16,96.1,54.95,357.5,72.1,28.95,29.63,50.05,28.9,57.05
2020-07-17,97.2,55.4,367.0,73.2,29.15,29.59,50.15,28.93,57.75
2020-07-20,97.05,55.5,366.0,73.9,29.25,29.55,50.15,28.92,57.75
2020-07-21,98.7,56.3,383.0,74.4,29.25,29.84,50.1,29.27,60.3
2020-07-22,98.95,56.45,384.0,75.3,29.2,29.97,50.1,29.27,60.6
2020-07-23,98.85,56.4,381.5,78.7,29.1,30.17,50.3,29.4,60.4
2020-07-24,98.5,56.2,386.0,82.4,28.95,29.85,51.0,28.95,59.25
2020-07-27,103.3,58.95,424.5,84.7,28.95,29.84,50.85,28.95,63.1
2020-07-28,103.6,59.1,435.0,84.4,26.95,29.46,50.15,28.94,62.75
2020-07-29,102.55,58.55,422.0,83.6,27.2,29.62,50.8,28.83,62.4
2020-07-30,104.05,59.5,434.0,86.5,27.25,29.99,50.7,29.08,63.95
2020-07-31,103.8,59.3,425.5,84.0,27.1,30.24,51.2,29.27,63.95
2020-08-03,102.0,58.4,416.0,82.5,26.8,30.01,51.0,29.4,62.1
2020-08-04,103.3,59.1,425.5,84.6,27.1,30.17,50.9,29.58,64.0
2020-08-05,104.3,59.6,429.0,85.5,26.9,30.62,51.05,29.65,65.1
2020-08-06,105.4,60.25,435.0,82.5,27.0,30.7,51.0,29.84,66.25
2020-08-07,104.65,59.85,433.0,82.4,26.9,30.65,51.3,29.88,65.4
2020-08-10,105.6,60.35,435.5,80.1,26.85,30.6,50.75,30.11,66.55
2020-08-11,104.8,59.95,429.0,82.0,26.85,30.35,50.7,30.2,65.35
2020-08-12,103.25,59.1,419.0,79.9,26.85,30.22,49.93,29.97,63.95
2020-08-13,104.25,59.75,429.0,84.0,27.0,30.32,49.85,30.3,65.1
2020-08-14,104.5,59.7,427.0,85.5,26.95,30.63,49.19,30.32,65.55
2020-08-17,105.6,60.35,435.0,86.5,27.1,30.96,49.14,30.34,67.25
2020-08-18,105.0,60.05,433.0,91.4,27.5,30.9,49.04,30.35,66.4
2020-08-19,104.25,59.6,427.5,88.8,27.55,30.77,49.38,30.43,65.5
2020-08-20,100.6,57.8,415.0,83.5,27.05,29.79,49.19,30.1,60.7
2020-08-21,102.8,58.85,424.5,85.3,27.4,30.11,49.26,30.38,63.4
2020-08-24,103.1,59.05,428.0,86.6,27.05,30.14,49.71,30.5,63.8
2020-08-25,103.9,59.3,434.5,91.5,27.25,30.44,49.48,30.83,65.1
2020-08-26,104.3,59.7,442.0,88.3,27.35,30.43,48.91,30.88,65.65
2020-08-27,104.55,59.7,444.0,89.7,27.2,30.33,49.0,31.13,65.45
2020-08-28,103.5,59.25,435.0,86.2,27.2,30.24,47.82,31.39,64.5
2020-08-31,101.8,58.55,426.5,84.9,27.2,30.16,48.14,31.58,63.2
2020-09-01,103.35,58.95,435.0,85.7,27.2,30.06,48.26,31.43,64.6
2020-09-02,103.0,58.9,433.0,82.6,26.9,30.14,48.76,31.72,64.6
2020-09-03,103.3,59.05,436.0,85.1,26.85,30.25,49.27,32.09,65.0
2020-09-04,102.55,58.5,429.0,82.8,26.65,30.09,49.43,30.9,63.8
2020-09-07,102.4,58.5,426.0,79.1,26.7,29.96,48.47,30.62,63.45
2020-09-08,103.0,58.9,431.0,77.6,26.6,29.97,48.49,30.8,64.25
2020-09-09,102.3,58.6,427.0,79.1,26.6,29.85,48.98,30.07,63.65
2020-09-10,103.2,59.0,435.0,77.6,26.7,29.85,48.71,30.47,64.4
2020-09-11,103.25,59.0,436.5,79.2,26.7,29.75,48.94,30.17,64.4
2020-09-14,104.55,59.55,441.0,80.6,26.6,29.98,48.98,30.24,66.6
2020-09-15,104.95,59.9,445.0,81.3,26.6,30.1,48.93,30.36,66.55
2020-09-16,106.55,60.7,458.0,80.9,26.7,30.25,48.8,30.48,67.9
2020-09-17,105.4,60.0,448.5,81.3,26.6,30.23,48.6,30.13,66.5
2020-09-18,105.3,60.0,444.0,82.3,26.4,30.2,48.57,29.97,66.75
2020-09-21,104.45,59.5,440.0,82.1,26.05,30.03,48.11,29.47,65.4
2020-09-22,103.1,58.9,437.0,80.8,25.6,29.8,48.57,29.36,63.4
2020-09-23,102.95,58.75,433.5,81.1,25.55,29.7,48.67,29.75,63.75
2020-09-24,100.45,57.45,423.0,77.6,24.9,29.06,49.05,29.05,60.15
2020-09-25,100.65,57.45,424.0,75.4,25.3,28.9,48.95,29.23,60.5
2020-09-28,102.3,58.3,431.5,80.6,25.9,29.38,48.87,29.68,62.6
2020-09-29,102.55,58.5,431.0,76.3,25.8,29.4,48.6,29.88,62.65
2020-09-30,103.0,58.75,433.0,75.5,25.6,29.48,48.6,29.46,63.3
2020-10-05,103.05,58.9,432.5,77.3,25.45,29.45,47.71,29.8,63.7
2020-10-06,104.25,59.55,439.5,76.7,25.75,29.68,46.86,30.03,65.1
2020-10-07,104.8,59.9,443.0,76.9,25.6,29.65,47.12,29.75,65.8
2020-10-08,106.2,60.55,453.0,77.2,25.35,29.76,46.76,30.14,67.15
2020-10-12,107.05,61.1,460.0,76.0,25.35,29.74,46.78,30.7,67.65
2020-10-13,107.1,60.95,462.0,76.5,25.15,29.71,46.88,30.95,67.85
2020-10-14,106.7,60.75,459.0,79.0,25.15,29.74,47.18,30.87,67.3
