Period,Strategy,Return_pct,MaxDD_pct
2000 ??,QQQ,-82.6,-83.0
2000 ??,QQQ + 2% Hedge,-70.9,-71.8
2000 ??,QQQ + 4% Hedge,-65.1,-66.2
2000 ??,QQQ + 8% Hedge,-57.8,-59.2
2000 ??,QLD,-98.5,-98.6
2000 ??,QLD + 2% Hedge,-94.3,-94.7
2000 ??,QLD + 4% Hedge,-91.1,-91.9
2000 ??,QLD + 8% Hedge,-86.0,-88.2
2000 ??,TQQQ,-99.9,-99.9
2000 ??,TQQQ + 2% Hedge,-98.8,-99.0
2000 ??,TQQQ + 4% Hedge,-97.6,-98.2
2000 ??,TQQQ + 8% Hedge,-95.2,-96.9
2008 ????,QQQ,-51.9,-53.7
2008 ????,QQQ + 2% Hedge,-36.1,-38.0
2008 ????,QQQ + 4% Hedge,-29.1,-31.2
2008 ????,QQQ + 8% Hedge,-20.8,-23.1
2008 ????,QLD,-81.2,-82.2
2008 ????,QLD + 2% Hedge,-65.8,-67.8
2008 ????,QLD + 4% Hedge,-56.4,-58.8
2008 ????,QLD + 8% Hedge,-44.1,-47.2
2008 ????,TQQQ,-93.9,-94.4
2008 ????,TQQQ + 2% Hedge,-81.9,-83.4
2008 ????,TQQQ + 4% Hedge,-72.1,-74.3
2008 ????,TQQQ + 8% Hedge,-58.7,-62.0
2020 COVID,QQQ,-28.1,-28.6
2020 COVID,QQQ + 2% Hedge,-7.6,-7.6
2020 COVID,QQQ + 4% Hedge,-4.5,-5.8
2020 COVID,QQQ + 8% Hedge,-1.0,-5.1
2020 COVID,QLD,-51.6,-51.8
2020 COVID,QLD + 2% Hedge,-18.9,-18.9
2020 COVID,QLD + 4% Hedge,-13.9,-13.9
2020 COVID,QLD + 8% Hedge,-7.8,-10.0
2020 COVID,TQQQ,-69.7,-69.7
2020 COVID,TQQQ + 2% Hedge,-28.2,-28.2
2020 COVID,TQQQ + 4% Hedge,-21.8,-21.8
2020 COVID,TQQQ + 8% Hedge,-14.1,-14.5
2022 ??,QQQ,-35.4,-35.4
2022 ??,QQQ + 2% Hedge,-17.3,-17.7
2022 ??,QQQ + 4% Hedge,-11.8,-12.4
2022 ??,QQQ + 8% Hedge,-6.2,-7.0
2022 ??,QLD,-62.5,-62.5
2022 ??,QLD + 2% Hedge,-36.1,-41.5
2022 ??,QLD + 4% Hedge,-25.8,-32.0
2022 ??,QLD + 8% Hedge,-14.5,-21.5
2022 ??,TQQQ,-80.3,-80.3
2022 ??,TQQQ + 2% Hedge,-48.6,-61.2
2022 ??,TQQQ + 4% Hedge,-34.0,-49.2
2022 ??,TQQQ + 8% Hedge,-17.9,-36.4
