Date,Action,Symbol,Quantity,Price,Amount
2021/12/28,Buy,TQQQ,1,$174.145,-174.15
2021/12/28,Buy,TQQQ,13,$174.3398,-2266.42
2021/12/28,Buy,EDV,12,$141.691,-1700.29
2021/12/28,Buy,TQQQ,1,$173.49,-173.49
2021/12/28,Buy,TMF,2,$28.895,-57.79
2021/12/29,Journaled Shares,,,,0.01
2022/1/13,Journaled Shares,TQQQ,15,,0.00
2022/1/14,Sell,EDV,-1,$133.1701,133.17
2022/1/14,Buy,TQQQ,1,$70.6199,-70.62
2022/1/14,Buy,TQQQ,1,$70.66,-70.66
2022/3/8,Sell,EDV,-2,$126.8108,253.62
2022/3/8,Buy,TQQQ,6,$41.2799,-247.68
2022/3/8,Buy,TQQQ,3,$41.715,-125.15
2022/3/8,Sell,EDV,-1,$126.9201,126.92
2022/3/29,Cash Dividend,,,,0.03
2022/3/29,Journaled Shares,,,,-0.01
2022/4/6,Cash Dividend,,,,5.08
2022/4/6,Journaled Shares,,,,-1.52
2022/6/29,Cash Dividend,,,,0.05
2022/6/29,Journaled Shares,,,,-0.02
2022/7/7,Cash Dividend,,,,5.65
2022/7/7,Journaled Shares,,,,-1.70
2022/9/27,Cash Dividend,,,,0.07
2022/9/27,Journaled Shares,,,,-0.02
2022/10/6,Cash Dividend,,,,5.46
2022/10/6,Journaled Shares,,,,-1.64
2022/10/31,Bond Interest,,,,0.01
2022/12/28,Journaled Shares,,,,-0.03
2022/12/28,Cash Dividend,,,,0.09
2022/12/29,Journaled Shares,,,,-1.66
2022/12/29,Cash Dividend,,,,5.53
2022/12/30,Cash Dividend,,,,4.01
2022/12/30,Journaled Shares,,,,-1.20
2023/1/31,Bond Interest,,,,0.01
2023/2/13,Buy,EDV,5,$88.49,-442.45
2023/2/13,Buy,TQQQ,70,$24.6699,-1726.89
2023/2/13,Buy,VOO,6,$378.2599,-2269.56
2023/2/13,Sell,TQQQ,-42,$24.7112,1037.84
2023/2/24,Journaled Shares,,,,1.52
2023/2/24,Journaled Shares,,,,1.70
2023/2/24,Journaled Shares,,,,1.64
2023/2/24,Journaled Shares,,,,1.66
2023/2/28,Bond Interest,,,,0.16
2023/3/28,Journaled Shares,,,,-0.02
2023/3/28,Cash Dividend,,,,0.07
2023/3/29,Cash Dividend,,,,8.92
2023/3/29,Journaled Shares,,,,-2.68
2023/3/29,Cash Dividend,,,,10.34
2023/3/29,Journaled Shares,,,,-3.10
2023/3/31,Bond Interest,,,,0.17
2023/4/6,Cash Dividend,,,,8.77
2023/4/6,Journaled Shares,,,,-2.63
2023/4/28,Bond Interest,,,,0.16
2023/5/16,Sell,TMF,-2,$7.8655,15.73
2023/5/16,Sell,EDV,-3,$85.44,256.32
2023/5/16,Sell,EDV,-3,$85.47,256.41
2023/5/16,Sell,EDV,-3,$85.44,256.32
